# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b1s_sorted_featurecounts.txt" "./bam_sorted/b1s_sorted.bam" 
Geneid	./bam_sorted/b1s_sorted.bam
DDX11L2	72
DDX11L1	0
WASH7P	293
MIR6859-1	8
MIR1302-2HG	2
MIR1302-2	0
FAM138A	0
OR4G4P	0
ENSG00000290826	0
OR4G11P	0
OR4F5	1
ENSG00000238009	3
ENSG00000239945	0
CICP27	13
ENSG00000268903	73
ENSG00000269981	92
ENSG00000239906	1
ENSG00000241860	75
RNU6-1100P	0
ENSG00000241599	1
DDX11L17	7
WASH9P	403
MIR6859-2	1
ENSG00000228463	56
ENSG00000286448	0
RPL23AP24	14
ENSG00000236601	6
ENSG00000290385	152
WBP1LP7	0
OR4F29	2
ENSG00000237094	0
CICP7	0
ENSG00000250575	4
U6	4
ENSG00000230021	35
ENSG00000235146	0
MTND1P23	370
MTND2P28	4715
MTCO1P12	4648
ENSG00000278791	0
MTCO2P12	984
MTATP8P1	10
MTATP6P1	9515
MTCO3P12	946
WBP1LP6	0
OR4F16	2
CICP3	0
ENSG00000291215	156
RNU6-1199P	0
ENSG00000229905	0
ENSG00000228327	0
LINC01409	27
ENSG00000285268	0
ENSG00000290784	15
ENSG00000230092	0
FAM87B	2
LINC00115	20
LINC01128	1080
ENSG00000288531	4
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	4
ENSG00000230699	27
ENSG00000241180	0
LINC02593	76
SAMD11	160
NOC2L	2718
KLHL17	454
PLEKHN1	128
PERM1	0
ENSG00000272512	28
HES4	515
ISG15	10981
ENSG00000231702	1
ENSG00000224969	7
AGRN	13472
ENSG00000242590	0
ENSG00000291156	52
ENSG00000273443	0
ENSG00000217801	19
RNF223	37
C1orf159	376
ENSG00000285812	9
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	2
TNFRSF18	4
TNFRSF4	26
SDF4	11027
B3GALT6	1648
C1QTNF12	50
ENSG00000260179	8
UBE2J2	2545
LINC01786	17
SCNN1D	101
ACAP3	1822
MIR6726	0
PUSL1	422
INTS11	2563
MIR6727	0
ENSG00000240731	100
CPTP	926
TAS1R3	28
DVL1	2220
MIR6808	0
MXRA8	6658
AURKAIP1	2006
NDUFB4P8	0
CCNL2	6143
MRPL20-AS1	698
MRPL20	1638
RN7SL657P	0
MRPL20-DT	152
ANKRD65	280
ANKRD65-AS1	2
TMEM88B	36
LINC01770	25
VWA1	2546
ATAD3C	75
ATAD3B	817
ENSG00000290916	0
ENSG00000284740	0
ATAD3A	1125
TMEM240	158
SSU72	5040
ENSG00000215014	31
ENSG00000274481	0
FNDC10	345
ENSG00000286989	28
ENSG00000272106	170
MIB2	1982
MMP23B	142
CDK11B	1810
ENSG00000272004	0
SLC35E2B	4857
ENSG00000269737	47
MMP23A	32
CDK11A	112
