# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b2s_sorted_featurecounts.txt" "./bam_sorted/b2s_sorted.bam" 
Geneid	./bam_sorted/b2s_sorted.bam
DDX11L2	4
DDX11L1	0
WASH7P	168
MIR6859-1	18
MIR1302-2HG	1
MIR1302-2	0
FAM138A	0
OR4G4P	0
ENSG00000290826	0
OR4G11P	0
OR4F5	0
ENSG00000238009	8
ENSG00000239945	0
CICP27	1
ENSG00000268903	74
ENSG00000269981	62
ENSG00000239906	0
ENSG00000241860	55
RNU6-1100P	2
ENSG00000241599	0
DDX11L17	0
WASH9P	312
MIR6859-2	2
ENSG00000228463	25
ENSG00000286448	0
RPL23AP24	14
ENSG00000236601	0
ENSG00000290385	134
WBP1LP7	0
OR4F29	0
ENSG00000237094	0
CICP7	0
ENSG00000250575	4
U6	9
ENSG00000230021	9
ENSG00000235146	0
MTND1P23	144
MTND2P28	2582
MTCO1P12	1469
ENSG00000278791	0
MTCO2P12	217
MTATP8P1	0
MTATP6P1	1396
MTCO3P12	294
WBP1LP6	0
OR4F16	0
CICP3	2
ENSG00000291215	151
RNU6-1199P	0
ENSG00000229905	0
ENSG00000228327	0
LINC01409	32
ENSG00000285268	0
ENSG00000290784	0
ENSG00000230092	0
FAM87B	3
LINC00115	51
LINC01128	588
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	5
ENSG00000230699	7
ENSG00000241180	0
LINC02593	4
SAMD11	24
NOC2L	1936
KLHL17	457
PLEKHN1	47
PERM1	0
ENSG00000272512	25
HES4	721
ISG15	441
ENSG00000231702	0
ENSG00000224969	15
AGRN	7235
ENSG00000242590	0
ENSG00000291156	212
ENSG00000273443	1
ENSG00000217801	17
RNF223	30
C1orf159	118
ENSG00000285812	2
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	4
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	40
TNFRSF4	64
SDF4	5294
B3GALT6	178
C1QTNF12	278
ENSG00000260179	28
UBE2J2	994
LINC01786	12
SCNN1D	98
ACAP3	1346
MIR6726	0
PUSL1	647
INTS11	1844
MIR6727	0
ENSG00000240731	95
CPTP	256
TAS1R3	6
DVL1	1483
MIR6808	0
MXRA8	1526
AURKAIP1	1497
NDUFB4P8	0
CCNL2	3809
MRPL20-AS1	273
MRPL20	587
RN7SL657P	0
MRPL20-DT	138
ANKRD65	46
ANKRD65-AS1	4
TMEM88B	9
LINC01770	4
VWA1	431
ATAD3C	58
ATAD3B	1184
ENSG00000290916	0
ENSG00000284740	0
ATAD3A	687
TMEM240	42
SSU72	3866
ENSG00000215014	44
ENSG00000274481	0
FNDC10	6
ENSG00000286989	0
ENSG00000272106	140
MIB2	2149
MMP23B	111
CDK11B	2331
ENSG00000272004	0
SLC35E2B	1786
ENSG00000269737	52
MMP23A	37
CDK11A	176
ENSG00000268575	87
ENSG00000227775	46
ENSG00000290854	25
SLC35E2A	0
NADK	1405
GNB1	10524
GNB1-DT	8
CALML6	0
TMEM52	18
CFAP74	0
ENSG00000233542	0
GABRD	6
PRKCZ-DT	0
PRKCZ	543
ENSG00000271806	2
PRKCZ-AS1	62
FAAP20	440
ENSG00000234396	0
SKI	5853
ENSG00000287356	34
MORN1	32
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	4
RER1	3780
PEX10	161
PLCH2	112
ENSG00000224387	0
ENSG00000229393	0
PANK4	1185
HES5	8
ENSG00000272449	39
TNFRSF14-AS1	28
TNFRSF14	626
ENSG00000225931	3
ENSG00000228037	11
ENSG00000289610	0
PRXL2B	471
MMEL1	7
MMEL1-AS1	0
TTC34	16
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	104
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	4
ENSG00000287828	6
ENSG00000286518	0
ARHGEF16	287
ENSG00000272088	0
MEGF6	201
MIR551A	0
ENSG00000238260	12
TPRG1L	2580
WRAP73	644
TP73	44
TP73-AS3	0
TP73-AS2	0
TP73-AS1	613
ENSG00000276189	0
CCDC27	8
SMIM1	41
LRRC47	2427
RN7SL574P	0
ENSG00000272153	26
CEP104	1487
DFFB	115
C1orf174	1513
LINC01134	2
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	2
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	8
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
ENSG00000289893	0
MIR4689	0
NPHP4	291
KCNAB2	2142
CHD5	92
ENSG00000285629	0
RPL22	4695
RNF207-AS1	0
RNF207	22
ICMT	2520
ICMT-DT	2
HES3	0
GPR153	745
ACOT7	156
ENSG00000271746	0
HES2	60
ESPN	29
MIR4252	0
ENSG00000231868	0
TNFRSF25	234
PLEKHG5	645
NOL9	896
RNU6-731P	0
ENSG00000229519	0
TAS1R1	8
ZBTB48	408
KLHL21	2539
PHF13	3054
THAP3	557
DNAJC11	414
LINC01672	2
ENSG00000284744	0
CAMTA1-DT	2
CAMTA1	1377
ENSG00000227950	0
CAMTA1-AS3	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	4
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	4726
ENSG00000269925	39
PER3	1569
ENSG00000236266	9
UTS2	62
TNFRSF9	979
ENSG00000270330	0
PARK7	4812
Y_RNA	403
ENSG00000284747	18
ENSG00000284716	2
ERRFI1	8300
ERRFI1-DT	2
RPL7AP18	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	4
RERE	4523
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	2
ENSG00000228423	2
RPL23AP19	0
ENO1	23475
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	6
ENSG00000232208	0
ENSG00000232663	0
CA6	0
ENSG00000290109	0
RN7SL451P	0
SLC2A7	0
SLC2A5	51
ENSG00000252404	0
GPR157	700
MIR34AHG	159
MIR34A	0
ENSG00000289914	4
LNCTAM34A	23
H6PD	2418
SPSB1	1285
ENSG00000284652	4
LINC02606	0
RNA5SP40	0
ENSG00000235263	0
SLC25A33	616
ENSG00000231181	2
TMEM201	314
PIK3CD	833
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	26
CLSTN1	2439
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	356
ENSG00000223989	0
ENSG00000285701	2
LZIC	1415
ENSG00000228150	4
NMNAT1	340
RN7SKP269	7
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	43
UBE4B	4305
RPL21P21	0
PGAM1P11	0
RNU6-828P	0
KIF1B	6366
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	30
ENSG00000284642	25
PGD	5344
ENSG00000271989	0
CENPS-CORT	6
CENPS	2
CORT	2
DFFA	2205
ENSG00000203469	0
PEX14	352
ENSG00000287727	4
RN7SL614P	0
CASZ1	73
ENSG00000272078	0
HSPE1P24	0
C1orf127	6
CFL1P6	0
TARDBP	3682
MASP2	119
SRM	1060
EXOSC10	942
ENSG00000226849	2
EXOSC10-AS1	0
MTOR	3777
MTOR-AS1	2
RNU6-537P	0
ANGPTL7	28
RNU6-291P	0
RPL39P6	2
UBIAD1	541
UBE2V2P3	12
ENSG00000284646	0
MTCYBP45	0
DISP3	2
ENSG00000285833	0
LINC01647	0
ENSG00000284708	36
FBXO2	771
FBXO44	342
MAD2L2	1026
FBXO6	48
DRAXIN	75
AGTRAP	526
C1orf167	0
C1orf167-AS1	0
MTHFR	2193
CLCN6	3203
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	88
SBF1P2	0
ENSG00000285646	52
RNU5E-1	0
RNU5E-4P	6
KIAA2013	1263
PLOD1	7955
ENSG00000287384	8
MFN2	4650
ENSG00000270914	0
MIIP	279
MIR6729	0
RN7SL649P	0
TNFRSF8	42
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	1
MIR7846	0
TNFRSF1B	3786
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	2850
SNORA59A	12
LINC02766	0
DHRS3	330
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	10
ENSG00000272482	2
AADACL4	0
ENSG00000226166	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	30
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	16
PRAMEF36P	0
ENSG00000290772	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	9
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	2
PRAMEF17	0
PRAMEF20	4
LRRC38	24
ENSG00000259961	0
BRWD1P1	0
PDPN	6459
RNA5SP41	0
ENSG00000237445	5
ENSG00000253085	0
PRDM2	1164
ENSG00000289380	2
KAZN	970
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	0
TBCAP2	0
ENSG00000287756	0
TMEM51-AS1	37
TMEM51	1173
TMEM51-AS2	0
MFFP1	0
ZBTB2P1	0
FHAD1	28
FHAD1-AS1	0
ENSG00000236045	2
EFHD2-AS1	0
EFHD2	2408
CTRC	2
CELA2A	9
CELA2B	4
CASP9	282
DNAJC16	683
SCARNA21B	0
ENSG00000272510	1
AGMAT	8
ENSG00000237301	0
CHCHD2P6	30
RNU7-179P	0
CD24P1	0
DDI2	2076
RSC1A1	3
ENSG00000271742	2
PLEKHM2	4841
ENSG00000237938	53
SLC25A34	4
SLC25A34-AS1	0
TMEM82	0
FBLIM1	1619
RPL12P14	54
UQCRHL	214
ENSG00000178715	251
SPEN-AS1	31
SPEN	8760
ENSG00000270620	0
ZBTB17	480
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	0
ENSG00000233078	0
HSPB7	360
CLCNKA	46
FAM131C2P	0
CLCNKB	147
FAM131C	2
EPHA2	2056
EPHA2-AS1	12
ENSG00000224621	1
ARHGEF19-AS1	0
ARHGEF19	280
ENSG00000291077	4
ANO7L1	0
ENSG00000288398	113
CPLANE2	44
MT1XP1	2
FBXO42	1520
SZRD1	3679
RPL22P3	5
SPATA21	8
NECAP2	1937
LINC01772	40
CROCCP3	22
RNU1-1	0
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	0
RNU1-6P	0
PDE4DIPP8	0
NBPF1	405
ENSG00000271732	2
CROCCP2	338
ENSG00000283773	0
MST1P2	66
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	3
EIF1AXP1	129
ENSG00000290849	0
ESPNP	0
ENSG00000279151	2
ENSG00000282740	0
CROCC	262
ENSG00000290850	0
RNU1-4	0
CROCCP4	0
ENSG00000290851	8
MST1L	0
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	6
RNU1-5P	0
ENSG00000238142	13
ENSG00000235241	0
RNU1-2	4
ENSG00000272426	4
ENSG00000290122	0
MFAP2	395
ENSG00000286898	0
ENSG00000226526	2
ATP13A2	283
ENSG00000288636	0
SDHB	1981
PADI2	345
LINC02783	0
ENSG00000282843	0
PADI1	2
PADI3	0
MIR3972	0
PADI4	132
PADI6	0
RCC2-AS1	0
RCC2	3073
ENSG00000290096	0
ARHGEF10L	567
LINC02810	4
ACTL8	0
ENSG00000284653	0
LINC01654	0
IGSF21	12
ENSG00000280222	2
IGSF21-AS1	0
ENSG00000225387	0
KLHDC7A	0
DYNLL1P3	0
ENSG00000225478	0
PAX7	0
TAS1R2	0
ALDH4A1	62
MIR4695	0
MIR1290	0
IFFO2	1059
ENSG00000272084	25
UBR4	19607
EMC1-AS1	7
EMC1	1565
MRTO4	382
ENSG00000286064	6
AKR7L	4
AKR7A3	17
ENSG00000270728	17
AKR7A2	475
RNU6-1099P	6
SLC66A1	322
CAPZB	7504
RN7SL277P	0
MICOS10	42
RNU4-28P	0
MICOS10-DT	0
NBL1	130
