# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b1c_sorted_featurecounts.txt" "./bam_sorted/b1c_sorted.bam" 
Geneid	./bam_sorted/b1c_sorted.bam
DDX11L2	67
DDX11L1	0
WASH7P	240
MIR6859-1	13
MIR1302-2HG	11
MIR1302-2	0
FAM138A	0
OR4G4P	0
ENSG00000290826	0
OR4G11P	0
OR4F5	0
ENSG00000238009	2
ENSG00000239945	0
CICP27	14
ENSG00000268903	117
ENSG00000269981	110
ENSG00000239906	0
ENSG00000241860	86
RNU6-1100P	1
ENSG00000241599	0
DDX11L17	0
WASH9P	469
MIR6859-2	0
ENSG00000228463	70
ENSG00000286448	0
RPL23AP24	29
ENSG00000236601	0
ENSG00000290385	217
WBP1LP7	0
OR4F29	0
ENSG00000237094	0
CICP7	3
ENSG00000250575	6
U6	3
ENSG00000230021	27
ENSG00000235146	0
MTND1P23	290
MTND2P28	3634
MTCO1P12	3732
ENSG00000278791	0
MTCO2P12	666
MTATP8P1	10
MTATP6P1	5856
MTCO3P12	814
WBP1LP6	0
OR4F16	0
CICP3	3
ENSG00000291215	180
RNU6-1199P	0
ENSG00000229905	0
ENSG00000228327	0
LINC01409	38
ENSG00000285268	0
ENSG00000290784	10
ENSG00000230092	0
FAM87B	14
LINC00115	12
LINC01128	955
ENSG00000288531	0
FAM41C	2
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	6
ENSG00000230699	49
ENSG00000241180	0
LINC02593	103
SAMD11	178
NOC2L	2710
KLHL17	396
PLEKHN1	91
PERM1	0
ENSG00000272512	0
HES4	321
ISG15	571
ENSG00000231702	0
ENSG00000224969	8
AGRN	9793
ENSG00000242590	0
ENSG00000291156	44
ENSG00000273443	4
ENSG00000217801	7
RNF223	40
C1orf159	407
ENSG00000285812	2
LINC01342	0
