# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b2c_sorted_featurecounts.txt" "./bam_sorted/b2c_sorted.bam" 
Geneid	./bam_sorted/b2c_sorted.bam
DDX11L2	17
DDX11L1	0
WASH7P	195
MIR6859-1	8
MIR1302-2HG	4
MIR1302-2	0
FAM138A	0
OR4G4P	0
ENSG00000290826	0
OR4G11P	0
OR4F5	0
ENSG00000238009	3
ENSG00000239945	0
CICP27	0
ENSG00000268903	48
ENSG00000269981	41
ENSG00000239906	1
ENSG00000241860	41
RNU6-1100P	2
ENSG00000241599	0
DDX11L17	0
WASH9P	298
MIR6859-2	1
ENSG00000228463	19
ENSG00000286448	0
RPL23AP24	17
ENSG00000236601	0
ENSG00000290385	110
WBP1LP7	0
OR4F29	0
ENSG00000237094	0
CICP7	0
ENSG00000250575	10
U6	12
ENSG00000230021	22
ENSG00000235146	0
MTND1P23	322
MTND2P28	5624
MTCO1P12	2348
ENSG00000278791	0
MTCO2P12	488
MTATP8P1	0
MTATP6P1	3108
MTCO3P12	502
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000291215	92
RNU6-1199P	0
ENSG00000229905	2
ENSG00000228327	0
LINC01409	20
ENSG00000285268	0
ENSG00000290784	0
ENSG00000230092	0
FAM87B	2
LINC00115	10
LINC01128	452
ENSG00000288531	0
FAM41C	2
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	7
ENSG00000241180	0
LINC02593	10
SAMD11	35
NOC2L	1332
KLHL17	241
PLEKHN1	46
PERM1	2
ENSG00000272512	10
HES4	167
ISG15	140
ENSG00000231702	0
ENSG00000224969	7
AGRN	6368
ENSG00000242590	0
ENSG00000291156	82
ENSG00000273443	1
ENSG00000217801	8
RNF223	8
C1orf159	169
ENSG00000285812	2
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	6
TNFRSF18	14
TNFRSF4	6
SDF4	4425
B3GALT6	372
C1QTNF12	101
ENSG00000260179	2
UBE2J2	1117
LINC01786	8
SCNN1D	74
ACAP3	1190
MIR6726	0
PUSL1	319
INTS11	1319
MIR6727	0
ENSG00000240731	26
CPTP	248
TAS1R3	4
DVL1	1131
MIR6808	0
MXRA8	2422
AURKAIP1	992
NDUFB4P8	0
CCNL2	2320
MRPL20-AS1	237
MRPL20	670
RN7SL657P	0
MRPL20-DT	106
ANKRD65	29
ANKRD65-AS1	6
TMEM88B	18
LINC01770	8
VWA1	336
ATAD3C	37
ATAD3B	447
ENSG00000290916	0
ENSG00000284740	0
ATAD3A	436
TMEM240	104
SSU72	2857
ENSG00000215014	44
ENSG00000274481	0
FNDC10	28
ENSG00000286989	0
ENSG00000272106	222
MIB2	1592
MMP23B	68
CDK11B	1293
ENSG00000272004	0
SLC35E2B	3065
ENSG00000269737	57
MMP23A	37
CDK11A	51
ENSG00000268575	80
ENSG00000227775	111
ENSG00000290854	24
SLC35E2A	0
NADK	1653
GNB1	9702
GNB1-DT	9
CALML6	4
TMEM52	6
CFAP74	0
ENSG00000233542	0
GABRD	0
PRKCZ-DT	0
PRKCZ	529
ENSG00000271806	4
PRKCZ-AS1	112
FAAP20	589
ENSG00000234396	2
SKI	4995
ENSG00000287356	45
MORN1	129
ENSG00000272161	6
ENSG00000269896	10
ENSG00000272420	1
RER1	3704
PEX10	192
PLCH2	208
ENSG00000224387	0
ENSG00000229393	0
PANK4	678
HES5	0
ENSG00000272449	14
TNFRSF14-AS1	37
TNFRSF14	513
ENSG00000225931	15
ENSG00000228037	13
ENSG00000289610	0
PRXL2B	366
MMEL1	8
MMEL1-AS1	0
TTC34	19
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	8
PRDM16	66
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	2
ENSG00000287828	6
ENSG00000286518	0
ARHGEF16	285
ENSG00000272088	0
MEGF6	278
MIR551A	0
ENSG00000238260	2
TPRG1L	2060
WRAP73	284
TP73	22
TP73-AS3	0
TP73-AS2	0
TP73-AS1	769
ENSG00000276189	0
CCDC27	10
SMIM1	52
LRRC47	1932
RN7SL574P	0
ENSG00000272153	17
CEP104	1429
DFFB	100
C1orf174	734
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	28
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
ENSG00000289893	0
MIR4689	0
NPHP4	294
KCNAB2	2346
CHD5	45
ENSG00000285629	0
RPL22	4327
RNF207-AS1	0
RNF207	52
ICMT	2349
ICMT-DT	23
HES3	0
GPR153	705
ACOT7	191
ENSG00000271746	0
HES2	66
ESPN	43
MIR4252	0
ENSG00000231868	0
TNFRSF25	168
PLEKHG5	761
NOL9	658
RNU6-731P	2
ENSG00000229519	2
TAS1R1	4
ZBTB48	348
KLHL21	783
PHF13	1941
THAP3	351
DNAJC11	490
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	6
CAMTA1	886
ENSG00000227950	2
CAMTA1-AS3	0
RNU1-8P	0
CAMTA1-IT1	3
CAMTA1-AS2	1
